s0,q_assumed_ah,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.45,1.7,0.001,0.45,-115.58894611525933,383.17506173927507,-115.58894611525933,365.3249559978909,-3.8631215298514557e-14
0.46,1.7,0.001,0.46,-111.87117981515475,380.3260962372436,-111.87117981515475,363.5007271049486,-1.3520925354480096e-13
0.47,1.7,0.001,0.47,-108.17731202889682,377.60592587653815,-108.17731202889682,361.77880592881655,7.726243059702911e-14
0.48,1.7,0.001,0.48,-104.96069504930908,375.4892305797946,-104.96069504930908,360.5210323631232,-1.3520925354480096e-13
0.49,1.7,0.001,0.49,-101.85702402074254,373.5248357226254,-101.85702402074254,359.36882107279735,5.794682294777183e-14
0.5,1.7,0.001,0.5,-98.88131247971062,371.71011861127334,-98.88131247971062,358.31675696274203,-6.760462677240048e-14
0.51,1.7,0.001,0.51,-96.03470427262427,370.02193478872465,-96.03470427262427,357.3423677652298,-1.0623584207091504e-13
0.52,1.7,0.001,0.52,-92.17804934182524,367.0548412248837,-92.17804934182524,355.29208221709735,1.3520925354480096e-13
0.53,1.7,0.001,0.53,-88.4353971212907,364.30750497674603,-88.4353971212907,353.4107224156922,-1.7384046884331552e-13
0.54,1.7,0.001,0.54,-85.16840758322412,362.16618486502057,-85.16840758322412,352.00949960110745,-1.5452486119405823e-13
0.55,1.7,0.001,0.55,-82.01393430130699,360.1688863033603,-82.01393430130699,350.70691644366497,-1.0623584207091504e-13
0.56,1.7,0.001,0.56,-79.00639291196589,358.3322715277869,-79.00639291196589,349.5139578004055,-1.2555144972017232e-13
0.57,1.7,0.001,0.57,-76.13332124932364,356.62137779569605,-76.13332124932364,348.39994904771135,-3.8631215298514557e-14
0.58,1.7,0.001,0.58,-72.20263496573776,353.5257962480851,-72.20263496573776,346.0740789438686,-1.1589364589554367e-13
0.59,1.7,0.001,0.59,-68.46725473528,350.74855813853605,-68.46725473528,344.0011425348414,1.9315607649257278e-14
0.6,1.7,0.001,0.6,-65.19172771679642,348.57588283053195,-65.19172771679642,342.4254440434936,1.7384046884331552e-13
0.61,1.7,0.001,0.61,-62.02181616847829,346.5375385601438,-62.02181616847829,340.9421651108684,-4.8289019123143196e-14
0.62,1.7,0.001,0.62,-59.00417373118476,344.6688277944235,-59.00417373118476,339.58078322467264,6.760462677240048e-14
0.63,1.7,0.001,0.63,-56.12008158543507,342.9265674191906,-56.12008158543507,338.30336546471534,1.7384046884331552e-13
0.64,1.7,0.001,0.64,-52.124787020721,339.68202238282885,-52.124787020721,335.65887878638506,8.692023442165776e-14
0.65,1.7,0.001,0.65,-48.4017055886518,336.86227976659995,-48.4017055886518,333.36687061803326,-1.6418266501868687e-13
0.66,1.7,0.001,0.66,-45.121626825795424,334.64908240760894,-45.121626825795424,331.5931952692158,-2.1247168414183007e-13
0.67,1.7,0.001,0.67,-41.93785467869182,332.5606372936929,-41.93785467869182,329.9057347518168,-1.0623584207091504e-13
0.68,1.7,0.001,0.68,-38.910948415011674,330.6529062508665,-38.910948415011674,328.3554210083772,1.9315607649257278e-13
0.69,1.7,0.001,0.69,-36.014577937338295,328.876553265219,-36.014577937338295,326.8986654356451,-1.1589364589554367e-13
0.7,1.7,0.001,0.7,-31.95411218248338,325.4901545029225,-31.95411218248338,323.9178528469304,1.6418266501868687e-13
0.71,1.7,0.001,0.71,-28.23318269376968,322.6318484415116,-28.23318269376968,321.39414590774163,-5.794682294777183e-14
0.72,1.7,0.001,0.72,-24.93669924504401,320.38228048543834,-24.93669924504401,319.41034216163433,-8.692023442165776e-14
0.73,1.7,0.001,0.73,-21.721075302105966,318.2557676546225,-21.721075302105966,317.51366668720465,-2.0281388031720143e-13
0.74,1.7,0.001,0.74,-18.658747036440623,316.3237406445001,-18.658747036440623,315.7729564962127,-5.794682294777183e-14
0.75,1.7,0.001,0.75,-15.724081938936159,314.5348650193384,-15.724081938936159,314.14158362100204,-2.4144509561571598e-14
0.76,1.7,0.001,0.76,-11.57034290766446,311.0791138259146,-11.57034290766446,310.8638644547085,-1.1589364589554367e-13
0.77,1.7,0.001,0.77,-7.829673997584075,308.27065725438854,-7.829673997584075,308.1712094423231,-1.9315607649257278e-14
0.78,1.7,0.001,0.78,-4.4952857999995715,306.0646592740544,-4.4952857999995715,306.03164552398715,4.8289019123143196e-15
0.79,1.7,0.001,0.79,-1.2391302155696795,303.98321947246274,-1.2391302155696795,303.98069392175603,1.8832717458025847e-13
