t,x1,x2,dx1,dx2,split
17.93,0.9948122984719686,-0.898721569719693,-0.898721569719693,-1.013413122280012,future
17.94,0.9857740197745258,-0.9089736930697182,-0.9089736930697182,-1.037130273417468,future
17.95,0.97663202202119,-0.9194665909686215,-0.9194665909686215,-1.061572149963976,future
17.96,0.96738386084918,-0.9302076353304845,-0.9302076353304845,-1.086763854459847,future
17.97,0.9580270167524698,-0.941204453966471,-0.941204453966471,-1.112731353132582,future
17.98,0.9485588929087311,-0.9524649378030082,-0.9524649378030082,-1.139501494750672,future
17.99,0.9389768119587174,-0.9639972516318325,-0.9639972516318325,-1.167102031423086,future
18,0.9292780136205424,-0.9758098419888395,-0.9758098419888395,-1.195561635279462,future
18.01,0.9194596517846513,-0.9879114464486604,-0.9879114464486604,-1.224909914808633,future
18.02,0.9095187912168953,-1.000311104278861,-1.000311104278861,-1.255177430500849,future
18.03,0.899452405049771,-1.013018164189979,-1.013018164189979,-1.286395704986567,future
18.04,0.8892573710899845,-1.026042295699577,-1.026042295699577,-1.31859723439314,future
18.05,0.8789304689132816,-1.039393497937075,-1.039393497937075,-1.351815493338776,future
18.06,0.8684683764806986,-1.053082109387119,-1.053082109387119,-1.386084937412181,future
18.07,0.8578676664325143,-1.067118818653588,-1.067118818653588,-1.42144100241113,future
18.08,0.847124803000404,-1.081514672761393,-1.081514672761393,-1.457920095466577,future
18.09,0.8362361378256065,-1.096281088401386,-1.096281088401386,-1.495559584491834,future
18.1,0.8251979067452205,-1.111429860058373,-1.111429860058373,-1.534397776556304,future
18.11,0.8140062255538405,-1.126973170206588,-1.126973170206588,-1.574473892306577,future
18.12,0.8026570863166608,-1.142923597906907,-1.142923597906907,-1.6158280291927,future
18.13,0.7911463533076613,-1.159294127189647,-1.159294127189647,-1.658501115535018,future
18.14,0.779469758815925,-1.176098155652905,-1.176098155652905,-1.702534853907211,future
18.15,0.7676228991865668,-1.193349501055576,-1.193349501055576,-1.747971649819462,future
18.16,0.7556012302993059,-1.211062408862729,-1.211062408862729,-1.794854528464315,future
18.17,0.7434000635906479,-1.229251556996924,-1.229251556996924,-1.84322703195279,future
18.18,0.7310145613542904,-1.247932061351222,-1.247932061351222,-1.893133101353648,future
18.19,0.718439732703991,-1.267119478225884,-1.267119478225884,-1.944616934529788,future
18.2,0.7056704288007808,-1.286829806900047,-1.286829806900047,-1.99772282396162,future
18.21,0.6927013387697113,-1.307079488909312,-1.307079488909312,-2.052494965110749,future
18.22,0.6795269849539556,-1.327885406705068,-1.327885406705068,-2.108977238625375,future
18.23,0.6661417188358203,-1.349264878588695,-1.349264878588695,-2.16721295675659,future
18.24,0.6525397164260598,-1.371235652315877,-1.371235652315877,-2.227244576227009,future
